season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2017-2018,13,ironi kiryat shmona,hapoel acre,650,11,661,H
2017-2018,13,bnei sakhnin,hapoel beer sheva,600,800,1400,A
2017-2018,13,maccabi petah tikva,maccabi tel aviv,1000,2500,3500,D
2017-2018,14,maccabi petah tikva,ashdod fc,980,40,1020,D
2017-2018,14,bnei sakhnin,hapoel acre,750,200,950,H
2017-2018,14,hapoel ashqelon,hapoel haifa,1795,350,2145,D
2017-2018,14,maccabi haifa,bnei yehuda tel aviv,16100,845,16945,A
2017-2018,14,ironi kiryat shmona,hapoel raanana,580,20,600,A
2017-2018,14,maccabi netanya,hapoel beer sheva,6500,1900,8400,H
2017-2018,14,beitar jerusalem,maccabi tel aviv,17715,3163,20878,A
2017-2018,15,hapoel acre,maccabi netanya,350,950,1300,A
2017-2018,15,bnei yehuda tel aviv,hapoel ashqelon,2180,270,2450,H
2017-2018,15,hapoel haifa,maccabi petah tikva,4201,49,4250,H
2017-2018,15,maccabi tel aviv,ironi kiryat shmona,10782,100,10882,H
2017-2018,15,hapoel raanana,bnei sakhnin,200,450,650,D
2017-2018,15,ashdod fc,beitar jerusalem,300,2700,3000,A
2017-2018,15,hapoel beer sheva,maccabi haifa,14400,1600,16000,H
2017-2018,16,bnei yehuda tel aviv,hapoel haifa,3020,1180,4200,A
2017-2018,16,maccabi netanya,hapoel raanana,5530,70,5600,D
2017-2018,16,maccabi haifa,hapoel acre,12339,100,12439,A
2017-2018,16,beitar jerusalem,maccabi petah tikva,8000,25,8025,H
2017-2018,16,ironi kiryat shmona,ashdod fc,425,20,445,A
2017-2018,16,hapoel ashqelon,hapoel beer sheva,1957,1904,3861,A
2017-2018,16,bnei sakhnin,maccabi tel aviv,400,1300,1700,A
2017-2018,17,hapoel acre,hapoel ashqelon,444,275,719,A
2017-2018,17,ashdod fc,bnei sakhnin,690,110,800,A
2017-2018,17,hapoel haifa,beitar jerusalem,5504,6146,11650,A
2017-2018,17,maccabi petah tikva,ironi kiryat shmona,750,50,800,H
2017-2018,17,hapoel beer sheva,bnei yehuda tel aviv,15150,350,15500,D
2017-2018,17,maccabi tel aviv,maccabi netanya,9470,1300,10770,H
2017-2018,17,hapoel raanana,maccabi haifa,500,1200,1700,A
2017-2018,18,bnei yehuda tel aviv,hapoel acre,1590,50,1640,H
2017-2018,18,bnei sakhnin,maccabi petah tikva,800,50,850,A
2017-2018,18,maccabi netanya,ashdod fc,4197,78,4275,D
2017-2018,18,ironi kiryat shmona,beitar jerusalem,1250,2300,3550,D
2017-2018,18,hapoel ashqelon,hapoel raanana,1162,16,1178,A
2017-2018,18,hapoel beer sheva,hapoel haifa,13520,625,14145,D
2017-2018,18,maccabi haifa,maccabi tel aviv,19689,2783,22472,A
2017-2018,19,hapoel haifa,ironi kiryat shmona,4610,90,4700,A
2017-2018,19,hapoel raanana,bnei yehuda tel aviv,248,592,840,D
2017-2018,19,ashdod fc,maccabi haifa,1000,1850,2850,D
2017-2018,19,hapoel acre,hapoel beer sheva,400,700,1100,A
2017-2018,19,maccabi petah tikva,maccabi netanya,1250,500,1750,D
2017-2018,19,maccabi tel aviv,hapoel ashqelon,8317,150,8467,H
2017-2018,19,beitar jerusalem,bnei sakhnin,10937,40,10977,H
2017-2018,20,hapoel acre,hapoel haifa,500,1100,1600,A
2017-2018,20,hapoel ashqelon,ashdod fc,725,48,773,A
2017-2018,20,maccabi haifa,maccabi petah tikva,12067,50,12117,D
2017-2018,20,hapoel beer sheva,hapoel raanana,12383,8,12391,H
2017-2018,20,bnei sakhnin,ironi kiryat shmona,380,90,470,A
2017-2018,20,bnei yehuda tel aviv,maccabi tel aviv,1790,4050,5840,D
2017-2018,20,maccabi netanya,beitar jerusalem,5600,5100,10700,H
2017-2018,21,hapoel haifa,bnei sakhnin,4200,500,4700,H
